0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,stats_date
1,Gonzaga,WCC,2-0,115.40380179001977,1,88.07258018668485,7,0.9572286810409336,1,25.83071911300824,3.1692808869917597,14.337452807632106,1.6625471923678972,0-0,0.610865223262328,0.610865223262328,0,0.5972312712352105,0.5398762307523589,0.6438322416275275,0.7805396932700998,0.7663770056484205,104.03130457884538,98.2414646695384,99.52979768343886,94.37903009729528,0,0,96.62816735526289,82.0331202477116,0.8679659879744315,1,0.1350543096997725,0,0,0,0,0,0.6438322416275275,0,0.6805476548038152,2,78,75.43178340825749,20221114
2,Houston,Amer,3-0,110.90906396247945,12,85.65278865170713,1,0.9512792040514444,2,27.227473305108685,3.7725266948913188,15.539496699237375,2.460503300762622,0-0,0.42480834170162557,0.42480834170162557,0,0.616807854988766,0.5319207394122397,0.6781152162384794,0.7846393674974699,0.8179558860902476,100.60967575047822,103.53701961848844,102.24982766892596,97.1973489429218,0,0,0.0,0.0,0.0,0,0.03341916470122974,0,0,0,0,0,0.6781152162384794,0,0.3583413566253182,21,157,66.81736424313188,20221114
3,Duke,ACC,2-0,113.85695363941957,3,89.72599014979485,16,0.9392946590917722,3,23.504422867623287,5.495577132376707,15.426993927659156,4.573006072340844,0-0,0.37295961946646805,0.37295961946646805,0,0.6767496259649617,0.4884450126210754,0.7614867019697107,0.7294597905284305,0.8418929878764879,98.45125387014016,103.77445434827058,105.01218496388829,97.06235594836075,0,0,0.0,0.0,0.0,0,0.033092295305725106,0,0,0,0,0,0.7614867019697107,0,0.1905161842076889,50,158,70.2265190021776,20221114
4,Baylor,B12,3-0,114.17842665573951,2,90.14880699798769,20,0.9380489473970789,4,22.376340804527008,7.623659195472987,12.132534878692551,5.867465121307449,0-0,0.26875674377897435,0.26875674377897435,0,0.730367275729999,0.5308290674428441,0.8633927479214356,0.6554101439519042,0.7929817123818084,95.9008218670307,107.27897953823047,104.43420409448721,93.95892405299806,0,0,0.0,0.0,0.0,0,0.021610878136761436,0,0,0,0,0,0.8633927479214356,0,0.18695012655268317,51,168,72.36134527771765,20221114
5,UCLA,P12,3-0,112.87688791209207,5,90.57797165318925,25,0.9262864547097969,5,23.857633838803274,6.142366161196718,15.280380680698169,4.719619319301832,0-0,0.4170662584664951,0.4170662584664951,0,0.6717168252348356,0.5298164518085179,0.7426670119479942,0.7416829477123893,0.8110845171100884,99.75279114973073,102.77894725231482,103.56728379944694,96.04968956810778,0,0,0.0,0.0,0.0,0,0.04171284655721019,0,0,0,0,0,0.7426670119479942,0,0.3007390496024376,29,149,69.57174555975888,20221114
6,Texas,B12,2-0,110.55073207887784,13,89.27103741515218,12,0.9211931904376774,6,21.768413062715275,9.231586937284726,11.051360322645891,6.948639677354111,0-0,0.3269442059466461,0.3269442059466461,0,0.7148194847672293,0.5064394173247653,0.8653162001423423,0.6550145649465899,0.7903049435303371,94.8112455038714,103.45663141802808,104.52895921076971,94.64832134938979,0,0,0.0,0.0,0.0,0,0.03970410107745881,0,0,0,0,0,0.8653162001423423,0,0.1739985868707753,53,150,68.44844357782293,20221114
7,Kentucky,SEC,2-0,112.55908849383138,6,91.16207978486256,29,0.9186879212852076,7,22.634761482908047,8.365238517091957,12.208152673962024,5.791847326037977,0-0,0.3568128446327461,0.3568128446327461,0,0.6913366045586811,0.5449095209826095,0.7970894982525105,0.6916526515646728,0.7713256507911921,99.55390073606794,105.38232381433757,103.88120026355416,95.17589787389753,0,0,0.0,0.0,0.0,0,0.03948316651614814,0,0,0,0,0,0.7970894982525105,0,0.17107174632075173,55,151,71.25345999395884,20221114
8,Tennessee,SEC,1-1,108.30137423487584,28,87.79109739802732,4,0.9179273980677891,8,20.674920507160973,8.325079492839023,12.253719136068243,5.74628086393176,0-0,0.4306401208147054,0.4306401208147054,0,0.6840042428167494,0.501978686034217,0.7952420830727411,0.7058823078713174,0.8154625505159929,97.70723244868402,101.86127412779655,103.58194964461872,95.30706443204394,0,0,0.0,0.0,0.0,0,-0.3983705583966859,0,0,0,0,0,0.7952420830727411,0,-0.6231902268218147,228,350,70.84892406121794,20221114
9,Indiana,B10,2-0,110.12055522167472,18,89.43709145181964,14,0.9162507363430211,9,22.32473024565098,8.675269754349017,13.435839412989631,6.56416058701037,0-0,0.23829234580110956,0.23829234580110956,0,0.6898147837166109,0.46423494031099855,0.8138836975896977,0.6865328296091209,0.7847241888429367,93.40785028492695,103.9476757298199,104.48115598089588,95.68544034132327,0,0,0.0,0.0,0.0,0,0.021688196603749543,0,0,0,0,0,0.8138836975896977,0,0.09411288432811615,77,167,71.3492563548237,20221114
10,North Carolina,ACC,2-0,113.36584148961904,4,92.35191729720181,41,0.9135409296879123,10,21.630334293523767,7.369665706476236,14.175721684039837,5.8242783159601625,0-0,0.46216921923834486,0.46216921923834486,0,0.7063238050237753,0.5772181096996286,0.7644213679196415,0.7158883746081137,0.7958051036696592,102.91004435277526,104.32004950943632,105.72525781493891,96.55224208957725,0,0,0.0,0.0,0.0,0,0.06242677347670511,0,0,0,0,0,0.7644213679196415,0,0.24855430433584802,36,121,71.32078194044853,20221114
