0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,stats_date
1,Connecticut,BE,29-8,121.31694175171833,3,92.18408337935693,12,0.9592274197735746,1,29.768543575764586,8.231456424235414,13,7,13-7,0.6937039599971079,0.5012122860134437,0.7452603791495036,0.6985095853947235,0.5012122860134437,0.7452603791495036,0.6871896507044604,0.7932791787384232,108.39196896243864,99.34743592732346,108.69163345233255,99.39163611312229,117.63029129108398,94.87113342194522,128.44377333510982,96.64451442393045,0.963427325730166,16,-0.04831462104482054,1513.0,1367.0,1355.6499999999999,1.1160697820233838,1.0083723674989857,0,0.65,4.965575448807851,13,285,66.83560692918319,20230326
2,Alabama,SEC,31-6,116.1685082548664,15,89.08702300693248,4,0.9548870334268332,2,31.0,6.0,16,2,16-2,0.738400155180149,0.7032561434045294,0.7474544359133746,0.738400155180149,0.7032561434045294,0.7474544359133746,0.6622056897437147,0.6551136227780372,110.08655439254734,98.4241727514225,110.08655439254734,98.4241727514225,117.88857771037868,87.88848958347472,117.46458794788909,93.71858294388802,0.9306788866069844,19,0.04070809621125204,1495.0,1198.0,1321.825,1.1310120477370302,0.906322697785259,0,0.8888888888888888,10.204194199766928,1,90,72.5888825423294,20230326
3,Houston,Amer,33-4,117.3927827422379,13,90.39995843462839,5,0.9527877448704193,3,33.0,4.0,17,1,17-1,0.6241536396228629,0.5314364945487569,0.6502476855593713,0.6241536396228629,0.5314364945487569,0.6502476855593713,0.758019900894454,0.786275865614361,107.27397957463432,101.36175189049472,107.27397957463432,101.36175189049472,122.066918848683,94.69436125075832,123.45741926318381,94.87735193131392,0.9538266790193153,12,0.03270566677309916,1392.0,1104.0,1164.8625,1.1949908250973829,0.9477513440427519,0,0.9444444444444444,8.091690040779815,5,108,63.39554861610384,20230326
4,UCLA,P12,31-6,114.88791553742524,22,88.5176973618951,2,0.9525143127480262,4,31.0,6.0,18,2,18-2,0.6959584514038408,0.527117385751704,0.7565435150279028,0.6959584514038408,0.527117385751704,0.7565435150279028,0.7063618119735613,0.8072134353175996,108.95847396211497,99.59680152661262,108.95847396211497,99.59680152661262,112.52907211427105,87.40682772190544,122.2420848011246,96.55249051215449,0.9377917704067699,16,0.012359848765998604,1400.0,1186.0,1311.5499999999997,1.067439289390416,0.9042735694407382,0,0.9,8.447768764470608,4,149,66.11059078712061,20230326
5,Tennessee,SEC,25-11,111.22097519398622,57,87.64099381589996,1,0.9393521675301433,5,25.0,11.0,11,7,11-7,0.6889249336530857,0.5693135694172817,0.747167735481077,0.6889249336530857,0.5693135694172817,0.747167735481077,0.7070233755288909,0.7585920759000856,108.7895035683015,99.81908457222035,108.7895035683015,99.81908457222035,112.43372323385712,88.98858330518247,119.74105656785423,94.36676886176332,0.9392685343194823,15,-0.09660240256844643,1250.0,1077.0,1163.4125,1.0744254509900832,0.9257249685730556,0,0.6111111111111112,2.826030563763893,25,348,65.18467622906525,20230326
6,Texas,B12,29-9,116.06976995321718,16,91.869986650931,10,0.9363682634065233,6,29.0,9.0,12,6,12-6,0.7433515944335634,0.5251954096230554,0.8621785945977206,0.7433515944335634,0.5251954096230554,0.8621785945977206,0.6529551130931198,0.8017470284267272,110.65825003512636,98.97797463315422,110.65825003512636,98.97797463315422,115.58590908588111,94.81974212999071,126.8656512389259,100.9105338117909,0.9329107009532559,25,0.023978090546738717,1368.0,1301.0,1281.2499999999998,1.067707317073171,1.0154146341463417,0,0.6666666666666666,7.564905211261306,8,129,68.51977062476328,20230326
7,Purdue,B10,29-6,117.86888046531024,10,93.72394637569451,20,0.9331440755028841,7,29.0,6.0,15,5,15-5,0.7013880514972107,0.5454696066301374,0.7867634236405447,0.7013880514972107,0.5454696066301374,0.7867634236405447,0.6993902233741123,0.7764767852010344,109.7385572888201,100.38578446293907,109.7385572888201,100.38578446293907,118.38847434632653,93.47908625170305,132.2812935932347,103.50759975939049,0.9437887126660898,17,0.05706727720685534,1418.0,1282.0,1274.25,1.1128114577202275,1.0060820090249165,0,0.75,9.376753422845685,3,58,63.96936374842245,20230326
8,Arizona,P12,28-7,119.401597625045,7,95.43828596630134,34,0.92931055963515,8,28.0,7.0,14,6,14-6,0.6874524078702321,0.5901052671014844,0.7159637354748886,0.6874524078702321,0.5901052671014844,0.7159637354748886,0.7065556618139456,0.7574487188986126,107.2702212379952,98.23500929931613,107.2702212379952,98.23500929931613,116.74325737162197,96.18904653733479,123.53013663706675,96.74885969756897,0.9432253831748506,13,0.034758777929646434,1551.0,1419.0,1423.5500000000002,1.0895296968845491,0.9968037652348002,0,0.7,7.626604621843782,7,102,72.20637591374575,20230326
9,San Diego St.,MWC,31-6,110.91143152244062,60,88.87104096705863,3,0.9274238758173408,9,31.64074512581873,6.359254874181272,15,3,15-3,0.6989292749519923,0.6337432451205391,0.7043197928298954,0.7036290960831095,0.6337432451205391,0.7043197928298954,0.7251023258337748,0.7533762005091954,109.95896635952573,100.05841148134874,110.05074731223883,99.93563555026437,115.52002951712545,92.69006169243025,132.98382131880112,108.39044769365114,0.9130618275152923,11,0.053872826788531,1282.0,1147.0,1158.95,1.1061736917036973,0.9896889425773329,0,0.8333333333333334,5.784647932661676,10,63,65.74834338595605,20230326
10,Gonzaga,WCC,31-6,123.19842288715375,1,99.05773420234992,78,0.9247059062573026,10,31.0,6.0,14,2,14-2,0.661941286965705,0.61159070500099,0.6433644918064678,0.661941286965705,0.61159070500099,0.6433644918064678,0.7139082385961695,0.7185724946184638,110.08243860903518,100.88070392462805,110.08243860903518,100.88070392462805,125.48951008351673,101.58268595828494,130.68090982406278,103.44254144554816,0.9363169630257016,13,0.07919455886001092,1431.0,1216.0,1153.7124999999999,1.2403436731421391,1.0539887536973034,0,0.875,6.682613782767954,9,28,70.1610742138629,20230326
