0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,stats_date
1,Auburn,SEC,11-1,132.40678249870746,1,95.75423803431079,18,0.9765024427140027,1,26.715877375825368,4.284122624174635,14.720557246676877,3.279442753323124,0-0,0.6674008779569464,0.6674008779569464,0.0,0.7751373494105591,0.6321045499576925,0.8784388156820738,0.589359277684966,0.6778962720910968,111.66997707528321,100.79905435703154,114.74916235506298,99.64735139102012,0.0,0.0,137.98161737433816,95.32276951314874,0.9859819914840342,6,0.0781744199422425,0.0,0.0,0.0,0.0,0.0,0.8784388156820738,0.0,4.046507675658651,1,68,68.74750716128273,20241225
2,Houston,B12,8-3,121.67682774587126,10,88.70662715222667,2,0.9742790199749892,2,24.697952216105516,6.302047783894484,16.697952216105513,3.302047783894484,0-0,0.5727639761671125,0.5727639761671125,0.0,0.746581518074384,0.5727639761671123,0.8421811661233836,0.6501250527173992,0.7717632098174315,109.66318386401332,104.40380584006508,113.2060845849626,100.44509937004646,0.0,0.0,125.82406586661575,101.51242278221497,0.9219462782096934,3,-0.1712568589318566,0.0,0.0,0.0,0.0,0.0,0.8421811661233836,0.0,0.19457659591755894,59,355,62.53515804428746,20241225
3,Duke,ACC,10-2,119.71386717811467,15,87.82477519504408,1,0.9724079946285779,3,27.16588356209884,3.8341164379011556,18.432018358316444,1.567981641683553,2-0,0.6338923478142102,0.6043150139534076,0.7817790171182237,0.6816478416239086,0.6336894783700472,0.7080249414135322,0.7186119845189141,0.6803858755283135,111.9797756327432,103.59843648884151,112.0743643416906,102.96893871277761,122.98314920300184,90.76979797992763,119.61921891959692,91.65725223093085,0.9552960890801785,5,-0.027422834399049023,158.0,121.0,131.25,1.2038095238095239,0.9219047619047619,0.699830044113011,1.0,2.581513915851272,8,230,66.35951747123575,20241225
4,Tennessee,SEC,12-0,119.09336613693051,17,89.27407225430372,3,0.9649148449045409,4,26.28976299356905,4.710237006430941,13.30815356837202,4.69184643162798,0-0,0.5375546313311118,0.5375546313311118,0.0,0.7297094745844104,0.5277406668320689,0.8755758357388789,0.6429679140937774,0.8092864413024662,108.11000676738644,105.3132481652025,114.19286346646457,101.61796434458147,0.0,0.0,125.77052312910519,81.70987564421296,0.9930343027270867,3,0.10073078607370745,0.0,0.0,0.0,0.0,0.0,0.8755758357388789,0.0,3.1658492312395374,3,40,66.78677683122646,20241225
5,Gonzaga,WCC,9-3,124.22192382404386,3,95.85292693452809,19,0.9517280501536286,5,25.355975514610858,5.644024485389139,15.704726297471105,2.295273702528898,0-0,0.6448990276255182,0.6448990276255182,0.0,0.631275902941068,0.6655591510305745,0.606515779320869,0.7506425335449295,0.7141389044881415,111.36334998069513,103.79995296023067,109.33866169886214,102.90766385286965,0.0,0.0,128.71115708536306,98.34049220835298,0.9566881723049286,5,-0.09284344719136894,0.0,0.0,0.0,0.0,0.0,0.606515779320869,0.0,1.2131069220719732,26,316,71.31903787410434,20241225
6,Iowa St.,B12,10-1,121.94542789436336,9,95.32247843118267,15,0.9444091965674887,6,24.242359268633503,6.757640731366494,14.24235926863351,5.757640731366494,0-0,0.4756890870280501,0.4756890870280501,0.0,0.7024327239906343,0.4756890870280504,0.8271417243200553,0.6591958853532648,0.7755441505486304,107.33973503612901,107.87117311634664,111.73832706949328,101.4238981557749,0.0,0.0,128.9767058126589,99.39032081414246,0.9524219400679255,4,0.07199349388809573,0.0,0.0,0.0,0.0,0.0,0.8271417243200553,0.0,2.0875133448677246,11,73,70.86426255052315,20241225
7,Florida,SEC,12-0,122.58502193142598,7,95.9629426165312,21,0.9435178992042055,7,24.5424961432661,6.457503856733903,11.546371981610323,6.453628018389678,0-0,0.5198231560997907,0.5198231560997907,0.0,0.70972318542262,0.4860357397915957,0.8712752294894709,0.6611628773822659,0.8547114040334751,105.67480956419034,104.99034765019347,112.28044893205558,101.19929497672035,0.0,0.0,125.85649411529263,94.52439802543813,0.9641626694183149,2,0.09822444882082337,0.0,0.0,0.0,0.0,0.0,0.8712752294894709,0.0,2.672566730819765,7,43,70.19694473303598,20241225
8,Alabama,SEC,10-2,123.29565075239873,5,97.43322020031488,34,0.937456380594102,8,21.775645122316263,9.22435487768374,10.836853799211658,7.163146200788342,0-0,0.7257397535797293,0.7257397535797293,0.0,0.8117049893217846,0.7136497616718125,0.8825226537356532,0.5743926351537795,0.6802352270892129,113.15758138735616,101.08861409982023,116.40777707271221,99.44186914625323,0.0,0.0,128.9095070593065,97.33977199560096,0.9619618249754697,5,0.093363614209514,0.0,0.0,0.0,0.0,0.0,0.8825226537356532,0.0,3.1145123602933498,4,46,74.53837530031966,20241225
9,Kansas,B12,9-2,118.15509045991097,24,93.61164558982675,6,0.9356977490706841,9,22.27327827138658,8.726721728613427,13.273278271386573,6.726721728613427,0-0,0.6506834089568315,0.6506834089568315,0.0,0.7666510355089271,0.6506834089568311,0.8304332301125801,0.6276586635702808,0.727439909189006,111.47876596227665,103.18840309456982,113.61460460198448,99.6775019159958,0.0,0.0,108.05748211117891,92.1740680541746,0.8615616696558761,4,0.02874705882777806,0.0,0.0,0.0,0.0,0.0,0.8304332301125801,0.0,1.834927013753867,15,138,70.15582898066633,20241225
10,Illinois,B10,8-3,116.78704917617668,34,93.57781327484051,5,0.9274341225364345,10,21.391834177611496,9.608165822388502,13.12991972839144,6.870080271608558,1-1,0.586542387451741,0.5252774863091743,0.8622344425932917,0.7277766349113383,0.5243617219381709,0.8396548370465802,0.6472283372073881,0.7341878828551515,108.91200581095262,103.58622609759612,111.99150059548101,100.42285477492034,111.21043167475321,91.95593237344956,118.6908144977381,96.02118415497645,0.9196396053415746,5,-0.050779316001481445,152.0,150.0,149.075,1.0196209961428813,1.0062049304041591,0.8371459919858344,0.5,0.7768658196785303,40,260,72.25497497043027,20241225
