0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,stats_date
1,Gonzaga,WCC,22-2,122.23494745045012,2,88.8364569215897,5,0.9751613142556659,1,24.47927388993316,2.520726110066839,13.479273889933161,0.520726110066839,11-0,0.522098953189756,0.4945252908440836,0.5546860086891869,0.5560930295936827,0.4945252908440836,0.6132630727183105,0.7774866970210076,0.7820600886488578,103.36273113592165,101.50281279887355,104.12141323716142,100.77099791397994,122.58471133468669,87.57654819945837,148.8690905521768,107.11886090075421,0.9777948372514773,7,-0.014930100285564407,1044.0,733.0,849.625,1.2287774017949096,0.8627335589230543,0.828045640825097,1.0,4.6058763572175385,11,213,73.66587951704678,20220218
2,Houston,Amer,21-4,117.12902203589647,9,88.87379661874843,6,0.9598700670670537,2,26.101363988764124,4.898636011235874,15.101363988764126,2.8986360112358747,10-2,0.6040093325547568,0.5643182999078546,0.6470079512555674,0.6325199744644835,0.5643182999078546,0.681776739422049,0.7846101890800833,0.8198589392983617,104.8158573157785,100.43446564057487,105.29478397354583,99.70684854460717,116.2680762127071,90.63451253658242,116.02704370208039,99.52409489945701,0.8537561940877519,4,-0.06754035742402764,872.0,723.0,789.25,1.104846373139056,0.9160595502058917,0.7513143157550118,0.8333333333333334,3.325459098694932,16,295,65.11531434947335,20220218
3,Kentucky,SEC,21-5,118.59304612831795,5,92.29717528646418,18,0.9469930951195443,3,24.830064001565333,6.16993599843467,13.830064001565328,4.16993599843467,10-3,0.6312590546006229,0.48952570112336985,0.7729924080778761,0.6614748376131581,0.48952570112336957,0.7856603250780055,0.7049337988536759,0.8040385554902947,106.18158936786868,99.31508413943494,106.58026781088104,98.54983759837397,117.17403907736532,92.50878370115018,124.31395971145962,96.98648838613856,0.9455633984050407,8,0.0013265151178571966,1007.0,889.0,922.1999999999999,1.0919540229885059,0.9639991325092172,0.8185969092783418,0.7692307692307693,4.7655691208679265,9,182,68.85276287280506,20220218
4,Arizona,P12,23-2,116.33538794590318,11,90.80975367453921,10,0.9452499883982205,4,28.11702261631693,2.8829773836830697,18.11702261631693,1.8829773836830699,13-1,0.6016443417403881,0.5227635747542013,0.663622087229535,0.6194471330944562,0.5227635747542013,0.6726230901815963,0.765071431911828,0.7787688183207855,105.3052667872653,100.47374344237032,105.58414218122272,100.16450971895539,115.4277616512397,91.25746092663711,112.50245927475714,87.46711023083911,0.9475833584696342,6,0.07743358140746925,1136.0,927.0,1009.7375000000001,1.1250448755245794,0.918060386981765,0.6936254304030723,0.9285714285714286,6.1432363271488395,4,40,72.83928721940158,20220218
5,Baylor,B12,21-5,118.16710308129478,7,92.5943231218676,22,0.9429199668749807,5,24.479787541408232,6.520212458591772,12.479787541408228,5.520212458591772,9-4,0.6779493039328257,0.5013149941411604,0.8545836137244908,0.7071022075410959,0.5013149941411603,0.8557263061077157,0.6655363748233798,0.8026455038417298,106.28488489142377,98.34115251655544,106.75571767221174,97.36589578300428,117.56459976579461,93.27131813702694,121.67079398084427,93.97007153397496,0.9512439104513636,14,0.029994944943458113,937.0,870.0,881.8124999999999,1.0625841661350912,0.9866042951307677,0.8586973063041006,0.6923076923076923,6.075369208391739,5,118,68.26351069472324,20220218
6,Kansas,B12,21-4,120.42128698492752,3,94.85249670318004,35,0.9396157643572395,6,25.1400975021703,5.859902497829698,14.140097502170303,3.859902497829699,10-2,0.7425097791344376,0.6318744888799502,0.8623646769101324,0.7620724857305778,0.6318744888799503,0.8561043723449198,0.6565589916089349,0.7832162816621987,107.25439690469942,95.9317182645226,107.72100336760106,95.46140665630888,120.45452780189515,93.77532383674964,123.84624872949648,97.58602279119978,0.93937604807117,14,0.07491308948899666,903.0,818.0,835.3875,1.080935494007272,0.9791863057563106,0.843583763214494,0.8333333333333334,7.108462220914514,2,41,69.37682784771486,20220218
7,Auburn,SEC,24-2,115.63242029405345,17,91.20625696790759,13,0.9387087389075467,7,27.53733258371069,3.46266741628931,15.537332583710688,2.4626674162893103,12-1,0.6791276869496099,0.6181902670003989,0.7400651068988207,0.6956088105012037,0.6181902670003989,0.7515222030295629,0.7297222002011554,0.7978382353931441,106.5625833700862,98.61372522352775,106.86064546607108,98.05048954402949,114.81515858816397,90.97916447060848,118.1053437068003,92.0724337947505,0.9460131438666478,9,0.09487340753867679,1034.0,898.0,945.6625,1.0934133477852828,0.9495988262197137,0.781310652969492,0.9230769230769231,7.380815159287011,1,29,70.25437872443365,20220218
8,Villanova,BE,20-6,119.18781125455287,4,94.11935977858619,29,0.9379393078640217,8,23.223260968768788,6.776739031231212,16.223260968768788,3.7767390312312124,13-3,0.719328701099616,0.6567086739242327,0.7584662180842306,0.7141180489638297,0.6567086739242327,0.7428227364836284,0.6905923050038661,0.663122558184832,108.52834469506494,98.03951846070407,108.40426577191597,98.22205687179732,119.46441686302644,95.14620797319213,126.80298423675677,101.60562513354543,0.9274161736820266,10,0.0023636044300643366,1177.0,1024.0,1032.9125000000001,1.1394963271332275,0.9913714859680756,0.6802488100812193,0.8125,5.189397558239236,8,180,62.48852939450734,20220218
9,Purdue,B10,23-4,124.82833089154335,1,98.61563810761638,90,0.9376527600723975,9,25.823895647119212,5.176104352880784,14.823895647119217,5.176104352880784,12-4,0.6740133389080486,0.48180258211356136,0.8061582342042585,0.6946175976769913,0.48180258211356153,0.8116658562368775,0.7075474411547118,0.8541114735569729,108.05919898023882,100.21791702427343,108.2086989050428,99.4332813030788,121.6746986713582,97.34390548827636,127.94872394792459,101.9562681147115,0.9315970576745402,11,0.05325735456764724,1229.0,1137.0,1080.55,1.1373837397621582,1.052241913840174,0.8336963443673535,0.75,6.408601791298601,3,75,66.40800233961798,20220218
10,Duke,ACC,22-4,116.86049534878012,10,92.44186567036706,21,0.9367671289023812,10,26.04065751302959,4.95934248697041,16.04065751302959,3.9593424869704106,12-3,0.6165379492498173,0.4631843044735325,0.728997288752426,0.6346402708651759,0.4631843044735325,0.7289410523805798,0.7526368412759593,0.7860766784926386,106.88048067140898,100.91739890249411,107.26400214557638,100.70021258362796,115.21520877806228,91.56537164959447,120.07349905710151,84.79500848989692,0.9820221732748169,7,0.02650972838533172,1127.0,985.0,1012.6624999999999,1.1129078049201981,0.9726833964919211,0.7287723432650414,0.8,4.7412462715230514,10,128,68.4243237826603,20220218
