0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,stats_date
1,Houston,Amer,25-2,120.81363154886586,3,91.45746628456834,7,0.9608836858161671,1,28.508928899214034,2.4910711007859656,16.508928899214034,1.4910711007859654,13-1,0.5967640747888319,0.5392490812358678,0.6501708545165841,0.6075539766291554,0.5392490812358678,0.6568852899687518,0.7725716905714349,0.7789446298130506,106.99752728784584,102.36615866287433,107.18786704482781,102.11451562358849,122.10698581840266,95.49573260313669,126.5955047680247,92.85626979416004,0.9724645186624332,8,0.03850489668357082,1077.0,857.0,900.9124999999999,1.1954546085219153,0.951257752556436,0.680385814051339,0.9285714285714286,6.7979875409513415,4,106,63.41249146475274,20230220
2,Alabama,SEC,23-4,118.76316757325432,11,89.9317104488054,3,0.9607562368007232,2,26.271497878875532,4.7285021211244675,16.271497878875532,1.7285021211244667,13-1,0.7136749371759649,0.6894393866916061,0.7361793769114409,0.7199532407029253,0.6894393866916061,0.7419910241555446,0.6784434339618166,0.6823726551134317,109.5996257465207,99.14475530532411,109.65873775922242,98.91342884239519,121.78109450417624,86.00568298525445,116.0808336940465,95.17510865126964,0.9075042865847187,12,0.026930762533415864,1180.0,887.0,1011.4625,1.1666275319154196,0.8769479837364212,0.7623317895099079,0.9285714285714286,7.775758437347977,2,126,73.6510003914435,20230220
3,UCLA,P12,23-4,113.66033080475988,30,88.43106960621311,2,0.9471698974927173,3,26.05684421555683,4.943155784443169,17.056844215556833,2.943155784443169,14-2,0.6455469870137251,0.5365467809009183,0.7204846287162798,0.6683803632902902,0.5365467809009183,0.7408888336044447,0.7386556972366777,0.8080871850407557,108.25234396884751,101.43072542201487,108.47357079030671,100.66656260724466,111.5818861057856,87.50520759452837,127.19736003601496,102.66790534732759,0.9215621678692524,8,0.006767780916444477,1101.0,925.0,1030.5749999999998,1.0683356378720619,0.8975571889479176,0.8225056531571042,0.875,5.597982283373677,8,154,66.76132604629451,20230220
4,Tennessee,SEC,20-7,110.76036051635552,65,86.76340003883648,1,0.9431128737614645,4,22.82204742324208,8.177952576757923,11.82204742324208,6.177952576757923,9-5,0.6527479955079039,0.5615474648464055,0.7374342025507239,0.6644073401000256,0.5615474648464055,0.7386950277831955,0.7217702853896558,0.7732361073089452,108.20610504710677,100.99200091724133,108.45288015686599,100.53495860038754,109.54835977033035,87.75516225199821,112.55586330537066,90.14903326301044,0.9277635744981577,10,-0.08451272422768219,957.0,828.0,911.5,1.049917718047175,0.9083927591881514,0.7431079160968461,0.6428571428571429,3.105011117180511,18,337,66.50017365129011,20230220
5,Purdue,B10,24-4,119.07362679639124,9,93.68691375891092,19,0.9403360992156357,5,26.394939349413413,4.605060650586586,15.394939349413415,4.605060650586586,13-4,0.6650717981360451,0.5261193932528496,0.7549821777663478,0.6791037536626787,0.5261193932528496,0.7632451518880845,0.726894823748139,0.8060160923082851,108.70144517377771,101.18020354611149,108.79786032658062,100.74416347334919,118.2679201190914,93.4631173045463,132.6220789353091,106.39943875374296,0.926456334801878,13,0.0437262405442278,1208.0,1071.0,1080.25,1.1182596621152512,0.9914371673223791,0.8100686719112596,0.7647058823529411,6.8891072372703706,3,94,64.38419447396392,20230220
6,Saint Mary's,WCC,24-5,113.61022282032428,31,90.02785141669969,4,0.935566931734164,6,25.410671552454165,5.589328447545835,14.410671552454165,1.5893284475458354,13-1,0.6153637763838515,0.5921430314037789,0.6402431460053578,0.6198819286251797,0.5921430314037789,0.6458871447702428,0.7934180278490361,0.8088543269881874,109.36967929289241,103.17118371757438,109.8140656557892,103.26638755200014,115.30123445655154,90.41531768690584,124.297743234825,99.89441819174115,0.9250834673661517,3,-0.03258216368051425,1032.0,841.0,895.1374999999998,1.1528955048805354,0.9395204647330719,0.6853951361244379,0.9285714285714286,3.6928622620618587,16,246,62.52108849554937,20230220
7,Connecticut,BE,20-7,117.53948524173953,12,94.25413563687205,21,0.9268287070243053,7,23.21193686991589,7.7880631300841126,12.211936869915888,7.7880631300841126,9-7,0.6494213562506828,0.5063433429965166,0.7477874903629218,0.6565311442827629,0.5063433429965166,0.7391344349901982,0.7223379779063578,0.779358174527367,107.3649524386921,100.42843256164267,107.69561484946115,100.53929615078381,114.53086161321492,95.31544314077497,126.45493103366641,96.9724104218941,0.9549025580730727,13,-0.027689090475175537,1172.0,1094.0,1080.575,1.08460773199454,1.0124239409573605,0.7045222134993032,0.5625,3.5556058918051754,17,238,67.71128096988822,20230220
8,Arizona,P12,24-4,119.80629797208422,5,96.31084521151155,38,0.9248674276036982,8,25.756347444510244,5.243652555489756,14.756347444510242,5.243652555489756,13-4,0.6503208065690664,0.6017365228565246,0.6817576960301228,0.6686125338663449,0.6017365228565246,0.7053943399217462,0.7283398230839765,0.7558457345193194,106.45949723061112,99.36966858306138,106.9375725106601,98.86537019134038,114.91875847538408,95.21276791649073,120.87310021423367,95.87908601047096,0.9348694780863885,9,0.06162664780325999,1303.0,1167.0,1199.8625,1.0859577659940203,0.9726114450614133,0.839335321974278,0.7647058823529411,6.186208978415553,5,62,72.96753711627086,20230220
9,San Diego St.,MWC,21-5,114.1651202112739,26,92.41860759338171,9,0.9190977663998686,9,23.927052358819758,6.072947641180243,14.927052358819756,3.0729476411802428,12-2,0.6734872576129585,0.6202138942516228,0.7191501404941034,0.6778055242813074,0.6202138942516228,0.7161999443010972,0.7477453290225841,0.7654090808337785,109.4900685488167,100.5783873724552,109.72436155609533,100.71089520083846,115.52593387552062,92.3602177496319,135.72795080310038,111.47487579475569,0.9058353549802977,6,0.016866030460573334,1005.0,902.0,910.0375,1.104350095463099,0.9911679463758362,0.7058742576255755,0.8571428571428571,4.439855695041967,10,139,67.44450685128511,20230220
10,Kansas,B12,23-5,115.69041930598249,20,93.66890879136648,18,0.918955724578581,10,24.946678195408992,6.053321804591004,12.946678195408996,5.053321804591004,11-4,0.7665747382069209,0.6421764717476418,0.8743865691382964,0.7745705069994953,0.642176471747642,0.8701884213480562,0.6321735642457135,0.7456805251637949,110.49090471378159,97.67467943251754,110.8590299129159,97.65129701754348,115.23244262960816,94.58172532852596,118.61228368571858,94.96425738540843,0.9280513179114098,20,0.14279948654355779,1118.0,1063.0,1054.0749999999998,1.060645589735076,1.00846713943505,0.8491976823968556,0.7333333333333333,8.940069226827635,1,4,69.61760940755944,20230220
